comment,true_label,pred_label,pred_label_name
when learned buddhist monks foresaw trend analysed minds wahabi extremists within muslim society foresaw openly predicted violent disaster come western powers their local agents accused them being racists,2,0,anger
hurts see many innocent lives affected,4,3,grief
prayers all families effected terrible event,2,3,grief
people must willing acknowlege facts order cure disease hatred delusions u understand,0,4,sadness
faith injesus he savior,4,3,grief
funny how people who follow eventually unfollow only because never follow them back,4,1,anxiety
am only one thinks she very hot,1,0,anger
hon mr former president,1,3,grief
good job sri lanka thanks exposing terrorists,1,0,anger
just get over here,2,0,anger
brought once again our good friends religion peace whatever world would without them islam making world better place one mass slaughter time,1,0,anger
why our world bad brutal its honestly sad,4,3,grief
soonly election goona happen srilanka now bomb blast these shows rajapakse co make politics will win he s master plan,1,0,anger
many churches mosques being destroyed person responsible here dont think its terrorists higher elites,1,2,fear
truth coming light now mud water getting clear former president s face comes forward step step clear display who been played master mind blast anyhow cooled news no more will discussed,1,0,anger
maybe now people will realize attacks churches holy week accidents wake up attacks christians up everywhere coincidence,2,1,anxiety
isis just one many smokesand quran its flame no brave enough blame,0,2,fear
nothing rong today 200 blessed familys transition heaven jesus sorry about those killer family members devils,0,3,grief
culprits will panish goad government all can see dangerous death,2,0,anger
rajapakshas should arrested,2,0,anger
why bomb christian church,2,1,anxiety
feel like something is wrong,1,0,anger
terrorism no religion me humanity better then any religions plz love one another stan against those peolpe who invloved terrorism strongly stand shoulder shoulder sarilankan people pakistan,3,2,fear
terrorist no religion rip,3,2,fear
terrorism any forms violence should stopped immediately my condolences victims their families who go through such terrible thing authorities should intervene matter prevent further casualties,2,3,grief
islam nothing terrorism terrorist,2,0,anger
lanka govt can initiate,0,1,anxiety
after lesson please alert next time check new face persons enter church compound,1,2,fear
am bigot isnt there outrage like nz attack where all liberals gone,1,0,anger
little cat which raise all myself hang itself when play garden,4,2,fear
good god ampnd oomf cannot hold conversation shit anymore lols,4,2,fear
islam billions times dangerous than cancer world,2,0,anger
looking forward justice,2,1,anxiety
very sad news my condolences victims srilankan tigers brave nation,2,3,grief
doesn t matter brand name mix between religion politics dictatorship fascism terrorism mixture long history jewish christian islamic religions please don t pollute buddhism politics,1,2,fear
cannot forget bomb attack thankful your media bringing out truth need justice massacre tamils,2,3,grief
islam religion peace,3,0,anger
catholic flock wtf flock herd these all terms used describe animals,0,2,fear
said right thing pray srilanka hope u guys know news,4,3,grief
weak current government allow terrorists enter country,0,2,fear
oops some people something again should put smirk back omars face happy easter,0,1,anxiety
hearty condolences our sir lankan brothers pakistan know your pain also gone through such horrific attack our army public school where hundreds kids martyred,4,3,grief
horrible attack cowardly suicide bomber brainwashed drugs stupid senseless death,2,3,grief
when goverment sri langka allowed virus islam radical grown,0,2,fear
kisee religion ka ak morta world jalta hai christian hajar morta hai kio kamush hai world where american israel best,2,0,anger
sinhalese seeking international justice now how time turn tables learnt nothing,2,0,anger
struggle with year that prevent from learn drive finally get license this year,2,4,sadness
please all power united usa russia india germany france japan uk srilanka myamaar israiel who want peace,3,1,anxiety
hope alive day islam will illegal,1,0,anger
look slaughter christians easter sunday,4,0,anger
better believe holy ghost idol worship,4,0,anger
lost many my relations katuwapitiya church praying easter sunday 2 nd holiest day christians,4,3,grief
3 32 many microphone barely see guy face,1,4,sadness
american created,0,1,anxiety
monk 100 true now attack us didn t listen monk listen him can avoid attack,4,0,anger
weast channel,0,1,anxiety
my heart feel pains victims,3,4,sadness
there go those crazy buddhists again just kidding know who,3,1,anxiety
my condolences go all those who believe fairy tales,0,3,grief
thanks those who exports weapons world no 1 positions,0,1,anxiety
islam will bring doom world wake up people take stern action very reason why china banned islam,2,0,anger
respect smart,4,1,anxiety
condolence jihadis will defeated,0,3,grief
basically terrorist extremist attack,2,0,anger
hmm minoritys targeted other countries arent western white total mind blow my gender studies teacher said only white men target minoritys when sri lanka become majority white,0,1,anxiety
very hard news about sri lanka my condolences those who loss there family members attack these person who perform kind job terrorists no religion,2,3,grief
why why why why need happen innocent lifes human act nor animal even animal love sad pray those innocent life their families rip,4,3,grief
stay away religion simply practice your own home take care,1,0,anger
must specific people government organisation responsible about those actions all violence individual small groups job fully reviewed those how try start fire between religions nations order ec,4,2,fear
when saw all starve people ethiopia tv felt awful see such suffer,0,4,sadness
am only one noticed trumps tweet 420,3,4,sadness
y all think trump wrong banding these crazy people smh y all keep being nice letting them,3,0,anger
where s reporting,3,1,anxiety
watch violent movie,0,2,fear
may almighty god save them our condolences bangladesh,4,3,grief
its s cal islamfobia,0,1,anxiety
nbc spends only 49 seconds once mentioning islamic terrorism their 5 30 broadcast,3,2,fear
religion cause all terrorism,0,2,fear
only man backpack,2,1,anxiety
yes yes down down sri lankan,3,4,sadness
real news when there no commentary napolean said,4,3,grief
penalty exercising religion above exercising knowledge instructed male female man know told man future matter matters creation happenstance because our creator knew,0,2,fear
went too far coming,0,1,anxiety
buddhists aren t supposed respect life even ant,4,0,anger
afraid loving just brave make terror human god never teaching killing hate god only teach love forgiveness all negativity hate terror god devil,3,2,fear
every church world should armed guard no backpacks near crowd church cowards never stop hurting civilians devils many faces,2,0,anger
terrorism religion,0,2,fear
these idiots think what right uh islam teache us hate no where qur its written should keep walking killing people no no no s vice versa qur says kind even cruelest one jiha,4,0,anger
well under lot pressure bos very pushy assign three project now deadlines near still have finish all project,4,2,fear
may lord s most tender blessing upon your people during tradgic time,3,1,anxiety
christians more discriminated against blacks jews women,3,0,anger
can people people stop with arashis fns mic situation get point anyways still cannot find tmrs perfs,4,0,anger
damn even lion cannot faithful,4,2,fear
monks done 100 percent truth,4,0,anger
one most beautiful places earth forever war when will globalist heart stop creating these horrible criminal acts,2,3,grief
what terrible event why people such things inhumane,2,3,grief
islamic terrorist,2,0,anger
pret manger off license opposite take much money,4,2,fear
malaysia won t news headline why well u know why church christian rip r p all 310 victim bornean pray sri lanka,4,3,grief
mr masara sadly know buddha never,3,4,sadness
