comment,true_label,pred_label,pred_label_name
nikhil naz m happy him stupid ndtv wion,1,0,anger
way life how can human continue living like,3,1,anxiety
those people selfish sri lanka really good country now no business all,3,0,anger
comment,4,1,anxiety
mr former president bull sited whyi voted never again bull shitted,2,0,anger
monks done 100 percent truth,4,0,anger
isi beyond blasts funded dubai billionaires,1,0,anger
2 18 luckily woman survived,3,1,anxiety
honestly d never visit middle east some places south asia no thanks,3,1,anxiety
where s reporting,3,1,anxiety
feel wrong watch this,1,0,anger
how iihan omar revenges she happy,1,0,anger
never affraid stand againts cult teach kill people tje middle peaceful civilization there only one way make radical islam vanish make them rotten inside spreading false teaching thei,2,0,anger
3 days ago liberal person who loves new york times hate trump after how cover situation now understand liberal media worse than isis gives sympathy terriosts hope fate happens all liberals,3,0,anger
case india,1,0,anger
judging targets clearly xenophobic attack against foreigners foreign culture,3,1,anxiety
these muslims become devil because islam support exmuslims channel,2,0,anger
why why why what these terrorists reading learning listening makes them want such horrible thing peaceful people another sad day world,2,3,grief
religion big no 21st century where science advanced s place museums sad still s around people still medieval times my heart goes out people who hurt,1,3,grief
video gonna blow up,1,0,anger
pestediabolica aki meu quarto sozinho jogando silent hill 4,2,4,sadness
like always islam peaceful religion,0,1,anxiety
la paura di rimanere solo non mai stata tanto forte,2,4,sadness
isis israeli made movement all use israeli weapons wer proof everything all government puts fear into people s eyes take control people who fear funny how nobody knows who all bombs no family no frien,2,1,anxiety
its funny how chinese source post something suffering shri lankan when even western media anything talk about,1,4,sadness
funny how youtube won t let these videos gain traction through algorithm re being censored,1,4,sadness
fun fact no one gives shit re here tiktok,0,4,sadness
nothing rong today 200 blessed familys transition heaven jesus sorry about those killer family members devils,0,4,sadness
god knows how handle those heartless people who taking innocent lives churches easter sunday will find out what hell really spades prayers all who know jesus lord personal savior prayers,2,3,grief
worship pray nor bow down images love lord your god all your heart all your soul all your mind pray spirit our lord jesus christ our god directly when pray like hypocrites go,4,3,grief
pakistani defense cooperation sri lanka,4,0,anger
all friend arrange go afternoon snack they tell me they tell that they have phone number think that this true,4,2,fear
condolences wont anything find some solution orelse will kill innocent people keep condolence sit saying condolence wont bring any good victims stop terrorist idealogy forever what motivating th,0,1,anxiety
thought some weeks ago christian churches should increased security government needs act christians being persecuted worldwide industrial scale case everyone knows been carried out islamic supremacists t,0,1,anxiety
my condolences all who lost loved ones am impressed their police knowing where go make arrests fast although 3 policemen lost their lives too still impressed were able zero making arrests quickly,1,3,grief
tomorrow all bombs will illegal people turn your bombs,0,2,fear
stand buddhist monks myanmar sri lanka,0,3,grief
why why why sad innocent people,3,4,sadness
religion love am sure,3,1,anxiety
feel like cry every time,1,4,sadness
tire dx still feel bit down because still have not find other earring stud dx,4,0,anger
where erdogan he quick threaten when his people were killed new zealand where he when his people murder over 300 innocent people injured over 500,2,0,anger
one finds difficult reconcile lack media outrage over 190 odd deceased against 50 who were shot new zealand both horrific horrendous why variance reporting level world media,0,2,fear
dont understand why people killing people please stop killing please humans,0,1,anxiety
picture worth thousand words,3,4,sadness
teerrorist only one religion u know well,0,4,sadness
globalists who control mainstream media around world want give story much play new zealand attack because fit their narrative,3,0,anger
oh god horrible,3,4,sadness
who s watching store abu sri lanka,4,1,anxiety
who fact batticoloa also included means islamic related terrorism may pakistan india war getting fought sri lanka,0,2,fear
