comment,emotion
he saviour sri lanka huge respect,grief
india indirectly involved these attack srilanka pm,anger
sadness too intense,sadness
cowardly piece crap,anger
am sri lankan man derectly related easter sunday attack he helpe them spread opinion terrorism sri lanka,fear
may revenge fall harshly upon cult leaders who instigated these attacks,anger
im born sri lanka live 8n switzerland me sis colubu dead,grief
everywhere world islam cause terror wake up people,fear
buddhists aren t supposed respect life even ant,sadness
why everybody blaming islam terrorist doesn t religion real islam believer will kill life s very difficult hear pls don t mix islam terrorism,anger
kind peace islam offers world,anger
very heartly condolence pakistan,grief
islam nothing just darkness misleading youth become human bomb,anger
revelation here,grief
there sadness everywhere,sadness
still feel emptiness,sadness
why can t sinhalese people one who damaging minority religions leave us alone what become majority people want convert follow their beliefs why can t,anger
most lucky person woman,fear
christian win islam,anger
calm down please,sadness
interviews those innovent christans terrorist,grief
my condolences victims their families friends,grief
wonder how benefit killing sucks condolences uganda,fear
wherever islam only destruction,anger
im emotionally broken,sadness
buddhist teachings killing human animals sin,grief
rip,grief
god bless those people,grief
terrorist no religion bc every religion gives message love peace harmony every one such terrorists showing holy islamic flags giving us clear message want start muslim christian unrest,fear
hang them public,anger
how mfer s gonna spin got your number,grief
feel weighed down sadness,sadness
how how how happen jow war waz done 2009 now these shyet z gone how who these shyet u check out how many sivilians died after war u will see there many people died after war then be4 war be4 war sivilians killed,anger
heartless human deserve punishment karma,anger
comments pakistani people blaming india now really like pakistan already grey list terror financing its goal get magnificent black list pakistan blames india,anger
sadness too heavy carry,sadness
damn lucky all she ate support beam,grief
politicians biggest terrorists man,anger
fear children their safety,fear
nothing done because most security forces now fear liberals crying islamophobia arrest muslims suspicion terrorism then don t find anything there,fear
s what know muslims,grief
remove pakistan world map world will peaceful,anger
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,anger
something about guys else after 10 years also people will die same way,grief
ok these ppl who r disgusting like what fuck world u get times ppl r going through hard times don t suicide yourself bomb then hurt others talk someone seek help don t end ur life others j,grief
things shouldnt happening rest peace condolences philippines,grief
world danger place worshippers,fear
kamikazes suicide bomber myanmar sri lanka seems like everywhere buddhism goes there violence bloodshed let s distract topic blaming minorities like hitler,anger
let responsible persons groups face worse death very soon,anger
my sympathy family s who lost all loved ones,grief
sad im u srilanka all videos very disturbing should public,sadness
oh its just some people something move along,grief
suicide bombers cowards hope there special place hell them,anger
sure lot trolls here sad see after such horrific event,fear
don t conceal truth nanasara,anger
people say terrorism no relegion,anger
might false flag operation another conspiracy attack muslims sri lanka,fear
revenge new zeeland probably,fear
hmm wonder which religion could done which religion could possibly commit terrorist attack hmm,anger
peacefooool religion,fear
feel emotionally drained weak,sadness
feel sad these people even though its their fault jesus ain t worth dying,grief
no baggage scan bombs hotels,fear
s sad see channel 4 journalist trying point out buddhism majority sinhalese when nation all sri lankan people see attack all community regardless what religion most people understand no one want go back,anger
muslims died sri lanka bombing may all rest peace,grief
hit islam hard even harder dont play games them,anger
condolence pakistan,grief
how evil come out sri lanka easter sunday,anger
