comment,true_label_id,true_label,pred_label_id,pred_label,anger,anxiety,fear,grief,sadness
first time leave home,4,sadness,2,fear,0.0036556614,0.13557303,0.5664219,0.0037564016,0.29059297
pakistan always stand srilankans pace growth,3,grief,1,anxiety,0.14763351,0.36393878,0.038522735,0.14249197,0.30741304
just don t go there hate tourists much these nations best go same goes java any nation who hates westerners,2,fear,0,anger,0.9030689,0.01069126,0.013782939,0.039903726,0.032553084
person taught convent school can just fly plane,0,anger,4,sadness,0.2337231,0.0966502,0.05742916,0.15550609,0.45669144
where whole world see violent against christian devil multiple faces one name,2,fear,0,anger,0.6070512,0.019522592,0.24195045,0.08286723,0.048608504
how sad pray sri lanka will,3,grief,4,sadness,0.0009491082,0.0015799316,0.0010097912,0.027953833,0.96850735
things were teaching poor children glad approval process taken now,1,anxiety,4,sadness,0.16926286,0.31260273,0.010968732,0.039362807,0.4678028
another proof god doesn t exist,4,sadness,3,grief,0.30685985,0.17953427,0.018679505,0.39689595,0.09803042
there go those crazy buddhists again just kidding know who,3,grief,0,anger,0.63779354,0.2648304,0.03671702,0.03988168,0.020777443
pakistan also victimized india like kalbhoshan abeenandan etc,3,grief,0,anger,0.8121483,0.0064060157,0.027388094,0.0982216,0.055836074
very sad news my condolences victims srilankan tigers brave nation,2,fear,3,grief,0.0028785397,0.00296853,0.009528029,0.77696794,0.20765695
don t right call them self muslimthese against real teaches islam qur am against them suicide boomers my self muslim stand sri lanka pray sri lanka specially victims,4,sadness,3,grief,0.16707925,0.04858788,0.10147205,0.45875096,0.22410986
religion peace publicly displays its love affection humanity,1,anxiety,3,grief,0.29309192,0.09865999,0.019218743,0.35393494,0.23509437
time war junkie race say muslim funny feeling one there s long ago,0,anger,4,sadness,0.15956299,0.16409193,0.31861725,0.015218772,0.3425091
think need some sri lankans here us some proper diversity,3,grief,0,anger,0.53202724,0.26703724,0.020582097,0.052286424,0.128067
fan when tiger lose quotgood he scumbagquot fan when tiger win quotooooh love winner all forgivenquot,4,sadness,2,fear,0.004525621,0.0013437474,0.6726771,0.0008698137,0.3205838
why why why why need happen innocent lifes human act nor animal even animal love sad pray those innocent life their families rip,4,sadness,3,grief,0.0060246503,0.01085686,0.030190486,0.8881349,0.06479316
can t see enemies zahran his criminal gang were also other muslims,1,anxiety,0,anger,0.7899052,0.037915204,0.11890031,0.028751865,0.024527444
he sinhalease king support him,0,anger,4,sadness,0.25517344,0.22466418,0.033168368,0.19772391,0.28927007
rajapakshas should arrested,2,fear,0,anger,0.9208926,0.02020126,0.0430641,0.009041404,0.006800556
america pakistan terrorist countries,2,fear,0,anger,0.53929096,0.023951326,0.38015127,0.03802295,0.01858345
