comment,emotion
im so full of life i feel appalled,anger
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel a bit annoyed and antsy in a good way,anger
i just try not to talk to anyone when i feel irritable like that,anger
i feel like they hated me since then,anger
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger
i stropped about for a bit feeling grumpy because i was missing out,anger
i have a feeling i shall go mad,anger
i feel so grouchy and irritable when im sick,anger
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
at a certain situation i felt myself neglected and undeservedly harmed,anger
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i just feel so fucked up these days,anger
i feel like i have been a bit obnoxious in my picture posting,anger
i feel morally outraged and furious more often than i d like,anger
i feel pissed my friend didnt offer me a soda,anger
i feel our hearts are treading dangerous territory,anger
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feel shafted or greedy,anger
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
i feel a bit pissed off because we went first,anger
i would accept your gift without feeling mad,anger
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger
i feel so tortured,anger
im feeling really really left out and somewhat dissatisfied with everything,anger
i take a long sip and feel the cold sensation of the iced capp,anger
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
i feel so bitchy and mean and terrible,anger
