text,true,pred,text_length,probs
some people comment section some news media wrong sri lankan special forces decided detonate bomb spot after evacuating area due complication defusing s why there many camera angles bomb,anxiety,fear,29,"{'anger': 0.2466984744536921, 'anxiety': 0.19739011073690668, 'fear': 0.2715768233508266, 'grief': 0.14219988970857614, 'sadness': 0.14213470174999845}"
what religion what his religion tell him,anxiety,anger,7,"{'anger': 0.3595626247959579, 'anxiety': 0.15478758521912309, 'fear': 0.15315875091917464, 'grief': 0.19478127344676546, 'sadness': 0.1377097656189789}"
muslims will grow more than twice fast overall world population between 2015 2060 second half century will likely surpass christians worlds largest religious group christian countries must take precaution,grief,anxiety,29,"{'anger': 0.23190490640150843, 'anxiety': 0.384406857356862, 'fear': 0.2058919983660747, 'grief': 0.12265030438940358, 'sadness': 0.055145933486151405}"
people quickly forgot about terrorist attack new zealand no one blaming christians now even attackers unknown everyone blames islam,anger,fear,19,"{'anger': 0.3017674142965489, 'anxiety': 0.12540141851574385, 'fear': 0.4833007265158966, 'grief': 0.061677745665874424, 'sadness': 0.027852695005936002}"
safe place all,anxiety,fear,3,"{'anger': 0.11220665093096135, 'anxiety': 0.25100929877345957, 'fear': 0.3155026006743151, 'grief': 0.16434892123846512, 'sadness': 0.1569325283827989}"
whos here tiktok,anxiety,sadness,3,"{'anger': 0.2017665531730666, 'anxiety': 0.2669752291547374, 'fear': 0.08634320365491727, 'grief': 0.08963872999339173, 'sadness': 0.35527628402388706}"
no mention attackers attackers were muslims look new zealand coverage knew all about attacker his views wonder why lack journalism attack,anxiety,fear,21,"{'anger': 0.22445373234901592, 'anxiety': 0.2458144563655069, 'fear': 0.2911993108855364, 'grief': 0.15851428655111552, 'sadness': 0.08001821384882526}"
india mastermind terrorism fight elections pragya thakur yogi adityanath m0di just few names,fear,anger,13,"{'anger': 0.5816599775991843, 'anxiety': 0.07012689029057151, 'fear': 0.2529496294265993, 'grief': 0.05013344948458405, 'sadness': 0.045130053199060854}"
islamic terror far most consistent daily devastating deaths form terror globally today perpetrators muslims following many versus quran berating demanding oppression infidels called far right t,fear,anger,26,"{'anger': 0.4034959198939578, 'anxiety': 0.09683682908180431, 'fear': 0.339553836140585, 'grief': 0.04971100162234721, 'sadness': 0.11040241326130583}"
god one everyone casteism sucks,grief,anger,5,"{'anger': 0.26891979106104125, 'anxiety': 0.25549104299363945, 'fear': 0.12933817114042276, 'grief': 0.18705665374128375, 'sadness': 0.1591943410636128}"
all future deaths your hands,anger,anxiety,5,"{'anger': 0.21123920015560183, 'anxiety': 0.3148636020053353, 'fear': 0.145652695983168, 'grief': 0.1491376486489543, 'sadness': 0.17910685320694059}"
try ask questions related governments will find out there some forces likes see world burn,anxiety,anger,15,"{'anger': 0.33550961174846616, 'anxiety': 0.26757003613104235, 'fear': 0.18330779402221553, 'grief': 0.08695337942796101, 'sadness': 0.12665917867031495}"
s ironical when community been behind such attacks attacked whole world shows solidarity sympathsis them however when anything happens asia somehow entire west seems keep mum,anxiety,anger,26,"{'anger': 0.3397215097085941, 'anxiety': 0.2045531476618043, 'fear': 0.2578251923073186, 'grief': 0.0921687576822148, 'sadness': 0.10573139264006828}"
after eastern sunday bomb attack 2019 sl gov,fear,anxiety,8,"{'anger': 0.25183738495901403, 'anxiety': 0.30920100651740845, 'fear': 0.19385531425284555, 'grief': 0.1565164341190062, 'sadness': 0.0885898601517258}"
can t say feels like justice,anxiety,sadness,6,"{'anger': 0.13948372569003836, 'anxiety': 0.18027173335857005, 'fear': 0.19696254120130527, 'grief': 0.09361618968921444, 'sadness': 0.38966581006087186}"
suicide bomber no profile such serial killers rapist psychopath etc very hard difficult trace them,anxiety,anger,15,"{'anger': 0.373353913211799, 'anxiety': 0.16293161191157543, 'fear': 0.20454796193550093, 'grief': 0.0833452281819686, 'sadness': 0.17582128475915612}"
stop targeting churchs,grief,anxiety,3,"{'anger': 0.20199686303693268, 'anxiety': 0.3195739897895394, 'fear': 0.1877240724381991, 'grief': 0.10691788171258025, 'sadness': 0.18378719302274868}"
horrible attack cowardly suicide bomber brainwashed drugs stupid senseless death,fear,anger,10,"{'anger': 0.44271989364141373, 'anxiety': 0.054559394562366095, 'fear': 0.29564309715062365, 'grief': 0.1413639747595298, 'sadness': 0.06571363988606672}"
its 80 its now 140,grief,anger,5,"{'anger': 0.2677715599634448, 'anxiety': 0.24770560091160254, 'fear': 0.15373999441624467, 'grief': 0.15685423451070377, 'sadness': 0.1739286101980042}"
very sad news pray afghanistan srilanka people my country situation every day because pakistani extremists terrorists,grief,sadness,16,"{'anger': 0.09656917627370862, 'anxiety': 0.052270658859459994, 'fear': 0.07824500237566433, 'grief': 0.3789949391214503, 'sadness': 0.3939202233697168}"
my dear sri lankan brothers all religions share your pain very trying time your nation especially post carnage caused suicide bombers while also condemning attack innocent muslim families misdirected violent atta,sadness,grief,31,"{'anger': 0.22888279288229774, 'anxiety': 0.0809530315748788, 'fear': 0.2556315160667628, 'grief': 0.25619906359116595, 'sadness': 0.1783335958848946}"
muslim religion don t understand everyday kill innocent people no apparent reason,fear,anger,12,"{'anger': 0.46247859314334033, 'anxiety': 0.16637710675433995, 'fear': 0.1794333368117023, 'grief': 0.09209784843958067, 'sadness': 0.09961311485103667}"
monk right wake up dumb left,anger,anxiety,6,"{'anger': 0.2780616559180184, 'anxiety': 0.3103873482001308, 'fear': 0.09490664323466304, 'grief': 0.10799311765927497, 'sadness': 0.20865123498791274}"
just cause collection plates church running low shutting down media take extreme measures,grief,anxiety,13,"{'anger': 0.287120121206636, 'anxiety': 0.4271737179243761, 'fear': 0.0931558818484152, 'grief': 0.11197548543771638, 'sadness': 0.08057479358285638}"
how many die before deal them,anxiety,anger,6,"{'anger': 0.5647126632343354, 'anxiety': 0.09419665027787813, 'fear': 0.13613584952126856, 'grief': 0.1275415642677203, 'sadness': 0.07741327269879755}"
what wrong world pee need realize world ending,anxiety,fear,8,"{'anger': 0.17763282589458992, 'anxiety': 0.1770618732289908, 'fear': 0.3294029428046767, 'grief': 0.23505586161475653, 'sadness': 0.08084649645698593}"
im sick all media helping spread outrageous lies around globe paris tragic accident course now peaceful yet aggresive buddhists lost fairy tales intelligence organisations when people realise th,anger,fear,28,"{'anger': 0.25617593410813094, 'anxiety': 0.1445871783365784, 'fear': 0.39021907926789534, 'grief': 0.08102793661985387, 'sadness': 0.1279898716675415}"
rest peace brothers allah love,anxiety,grief,5,"{'anger': 0.10878686281919937, 'anxiety': 0.05614397035021361, 'fear': 0.0182456363480027, 'grief': 0.6899939714337405, 'sadness': 0.1268295590488438}"
must come together fear darkness amongst us test our faith love don t let them win,fear,anxiety,16,"{'anger': 0.16135609287631666, 'anxiety': 0.3911049420950086, 'fear': 0.2350902843151926, 'grief': 0.09920090953757577, 'sadness': 0.11324777117590648}"
where silly woman nz,anxiety,anger,4,"{'anger': 0.4125765932687365, 'anxiety': 0.18481593726893988, 'fear': 0.10263885044454131, 'grief': 0.20006319725412042, 'sadness': 0.09990542176366182}"
biggest warning can give someone there muslims your country,fear,anger,9,"{'anger': 0.2898563247115044, 'anxiety': 0.20031596203261043, 'fear': 0.22987120117885862, 'grief': 0.10344391137884489, 'sadness': 0.1765126006981818}"
why catholic bishop pope tied up wd south africa muslim mullah,anxiety,anger,11,"{'anger': 0.36276158645594353, 'anxiety': 0.2037577475274103, 'fear': 0.21360091943299528, 'grief': 0.12583449946278705, 'sadness': 0.09404524712086375}"
he also most peaceful world,anger,anxiety,5,"{'anger': 0.18491519735084574, 'anxiety': 0.5780950612424708, 'fear': 0.12859537810188548, 'grief': 0.046446257363914265, 'sadness': 0.06194810594088373}"
still remeber lost my best friends army public school can feel pain bro stay strong sirlankan brother pakistan,grief,sadness,18,"{'anger': 0.11270175727826126, 'anxiety': 0.0778356998192792, 'fear': 0.06747093636866411, 'grief': 0.16126221253380935, 'sadness': 0.5807293939999861}"
terrorism no religion living heading towards horrificall time,anxiety,fear,8,"{'anger': 0.25890181661169975, 'anxiety': 0.07200437604063979, 'fear': 0.3684619185625996, 'grief': 0.1814040510280363, 'sadness': 0.11922783775702453}"
dont understand point killing,grief,anger,4,"{'anger': 0.3986030288493062, 'anxiety': 0.1992320692146938, 'fear': 0.15958804746525482, 'grief': 0.08848621093218825, 'sadness': 0.15409064353855675}"
heart felt condolences may god give strength fast cure all those who injured mental strength all those who lost their loved ones writhing comment bleeding heart,sadness,grief,26,"{'anger': 0.05813590465270702, 'anxiety': 0.05125177943462432, 'fear': 0.043157996004183616, 'grief': 0.576956965668263, 'sadness': 0.270497354240222}"
pakistan turned tamil civil rights activists into terrorists,anger,fear,8,"{'anger': 0.23309412297868948, 'anxiety': 0.14668199541241397, 'fear': 0.4337806633164045, 'grief': 0.11428679759340102, 'sadness': 0.07215642069909105}"
hmm minoritys targeted other countries arent western white total mind blow my gender studies teacher said only white men target minoritys when sri lanka become majority white,anxiety,anger,27,"{'anger': 0.44488619834813403, 'anxiety': 0.1354533757935589, 'fear': 0.20865902542646902, 'grief': 0.11513820013244525, 'sadness': 0.09586320029939267}"
160 death 500 injured,sadness,fear,4,"{'anger': 0.24159471811696923, 'anxiety': 0.10154455490435774, 'fear': 0.34658386565919863, 'grief': 0.2202471372487759, 'sadness': 0.09002972407069852}"
watching makes me real angry,anger,fear,5,"{'anger': 0.1663006532024188, 'anxiety': 0.2915163896198495, 'fear': 0.3110917917550539, 'grief': 0.053427211815447725, 'sadness': 0.17766395360723017}"
wasnt muslims drumpf duhhhhhhh alt right nazis fascists,anxiety,anger,8,"{'anger': 0.4209838096905578, 'anxiety': 0.2276010261478537, 'fear': 0.11338525039093388, 'grief': 0.12058863441027322, 'sadness': 0.11744127936038129}"
religion peace spreading love funny even where minority still problem,anxiety,anger,10,"{'anger': 0.41679145375592075, 'anxiety': 0.29810084818450044, 'fear': 0.041887562073082606, 'grief': 0.16788220816514218, 'sadness': 0.0753379278213541}"
peaceful community spreading peace,grief,anger,4,"{'anger': 0.6309613612327349, 'anxiety': 0.23031143572949161, 'fear': 0.03943858656888322, 'grief': 0.033907649231214226, 'sadness': 0.06538096723767606}"
who walks into church gigantic backpack looked really suspicious,fear,anxiety,9,"{'anger': 0.058730147836748084, 'anxiety': 0.6575871276197903, 'fear': 0.14502264233535145, 'grief': 0.07638535055420595, 'sadness': 0.06227473165390422}"
church heart jesus shame terrorists world come together fight terrorists whole world sri lanka,grief,fear,14,"{'anger': 0.22838916330961365, 'anxiety': 0.08427268080180042, 'fear': 0.2952025571568998, 'grief': 0.22233498340798097, 'sadness': 0.16980061532370513}"
pray families all those lost loved ones pray healing s speedy recovery those injured definitely demonic may god your families lord mercy our souls,fear,grief,24,"{'anger': 0.01810589239438204, 'anxiety': 0.02024748022592741, 'fear': 0.032703736294491276, 'grief': 0.8309078372324088, 'sadness': 0.0980350538527904}"
now 2019 sri lankan team willing play cricket pakistan,sadness,grief,9,"{'anger': 0.16000119976544458, 'anxiety': 0.14427978190268592, 'fear': 0.14346819183727713, 'grief': 0.33361139180220556, 'sadness': 0.21863943469238678}"
condolances r p all people,sadness,grief,5,"{'anger': 0.19395483309538603, 'anxiety': 0.1850006772661894, 'fear': 0.14043674660506608, 'grief': 0.3515935118246228, 'sadness': 0.12901423120873573}"
people say terrorism no relegion,anger,fear,5,"{'anger': 0.22514698361495303, 'anxiety': 0.09736196840944816, 'fear': 0.5326987435109398, 'grief': 0.07823351056238172, 'sadness': 0.06655879390227737}"
turkey all muslim agonist s saudi israel american seaport s under,anxiety,anger,11,"{'anger': 0.3872956687286975, 'anxiety': 0.12821838816207792, 'fear': 0.3372710473970338, 'grief': 0.06953421010693299, 'sadness': 0.07768068560525783}"
how easy can make bombs there way stop,fear,anger,8,"{'anger': 0.31921163712232403, 'anxiety': 0.2045127711833374, 'fear': 0.1974985035879835, 'grief': 0.17161708597717898, 'sadness': 0.10716000212917617}"
worst media,anger,anxiety,2,"{'anger': 0.17909575917344592, 'anxiety': 0.23904182825269663, 'fear': 0.23887742999182132, 'grief': 0.20028445925990776, 'sadness': 0.14270052332212835}"
muslim community deeply weighed shocked sympathize all people sri lanka condemn terror there no religion terrorism all religions stand against terrorism irrespective caste,anxiety,fear,23,"{'anger': 0.1560455262988967, 'anxiety': 0.08451530029683374, 'fear': 0.5611752093189566, 'grief': 0.11623479354562988, 'sadness': 0.08202917053968303}"
