comment ,emotion
condolence from uk persevere face persevere face persevere face persevere face anxious face with sweat anxious face with sweat anxious face with sweat anxious face with sweat beat heart beat heart beat heart beat heart please peace,grief
my heart feel heavy when I think of the tragedy that happen it bring tear to my eye . it be difficult to watch these video again .,grief
hater same treatment in burmu with muslim,sad
my deep condolence to all the affected one,grief
of the unknown change replace and familiarity with ambiguity and uncertainty,fear
misunderstood by a close friend for the wrong reason .,anger
my heart hurt think of the victim .,sad
my mom quotdo you think that case can hold 170 pound on it?quot quotmom . I weigh 135.quot,sad
new enemy be want to come out . the hostility between christian and someone else . it doesn trade mark t matter who it be . this action be intentional to create panic fear worry . it be obvious it be political,fear
when a good friend of mine behave in a very cool manner to I for a very long time .,fear
what s the problem ? thing be get out of hand . you keep stick your nose where it doesn t belong .,anger
call or invite virathu from myanmar to make peaceful environment and spread budha teaching,sad
such a sad day when my first boss and owner of newberry one screen theatre die .,sad
death of a relative .,sad
I live with my sister now and sometimes she anger I especially when she think I do not keep the apt . clean enough .,anger
world wide opinion on indias handling of covid . washington post as avoidable as it be tragic the guardian the indian prime minister trade mark s overconfidence lie behind the country trade mark s disastrous covid19 response . the indian prime minister suffer from overconfidence in his own instinct and poohpoohs expert advice and the buck stop with he the new york times crisis deepen by misstep complacency trade mark abc australiacatastrophe could have be avoid trade mark time we responsibility lie with a strongman regime trade mark global times china unforgettable mistake of drop guard trade mark . time now wion abp news republic zee news news 18 all of the opinion that the govt have do a wonderful job but it be the opposition which be responsible for the mess .,fear
I m sorry.my car take .,sad
how be you mfer go to spin this ? we get your number ...,grief
my heart break again when I see the tragedy that happen it be hard to move on from this .,grief
his mother have begin to feel very angry about his refusal to eat as he have start to lose weight which worry she .,anger
it hurt every time I remember the unforgettable tragedy and the sadness nevergoe away . I wish this tragedy neverhappene .,grief
heart breaking . I be so sorry .,grief
bombing be do by deep state and mafia . they only use isiss as cover to make it religious . sri lankan government fail to protect their citizen . om shanti to people who lose their life .,grief
its clear now that the rajapakse plan and exicute the easter attack,anger
I neverfaile my examination since standard 1 but I experience sad moment when I sit for standard 8 examination and I be notselecte for secondary school education in 1978 .,sad
the exam ! the terrible exam ! I m notready yet . can you tell I how to get good mark ?,fear
I feel emotional whenever I watch video of how many life be shatter the grief stay with I .,grief
boy I wonder what possible religious group do this attack ? thinking face,anxiety
I feel so downhearted .,sad
