comment,true_label,pred_label_name,pred_label
only srilanka left without terrorist world now adays country doesn t terrorism country no demand world,1,fear,2
nothing holy these people,0,grief,3
wasnt muslims drumpf duhhhhhhh alt right nazis fascists,1,anger,0
ban social media,1,anger,0
2 18 luckily woman survived,3,anxiety,1
ya allah destroy these people who kill others while worship,0,grief,3
must stop us uk freemasonry carrying out terrorism world,0,fear,2
worship pray nor bow down images love lord your god all your heart all your soul all your mind pray spirit our lord jesus christ our god directly when pray like hypocrites go,4,grief,3
am only one noticed trumps tweet 420,3,anxiety,1
ginza1986 smittybhoy haha do not like see that bear sober,2,sadness,4
feel wrong watch this,1,anger,0
doggy cold leave vet rt brandonj skyemtaylor oh what is wrong,4,fear,2
felt frustrated angry utterly deject,4,anger,0
yet young man video affectionately care prevented young child where he walking aware cognizant protect child harm,4,fear,2
why big nations destroying terrorism together vanish these b earth humanism,2,grief,3
know even sri lanka islamic terrorists problem,1,anger,0
every one talking about guy religion m here just feeling relieved woman who survived end rip people who lost there lives unfortunate day,3,anger,0
people sri lanka hospitable very generous also theyre polite may our creator end evil activities god bless sri lanka philippines,1,anger,0
lord mercy,4,grief,3
ahhhh i am worry about dentist why put off long,2,sadness,4
stay strong sirilanka pakistan always india pay,0,sadness,4
what s wrong calling spade spade s radical islam no doubt please call,3,anger,0
am strongly condem behalf nation,3,sadness,4
where international outcry over mindless slaughter christians where nzprime minister,0,anxiety,1
ohh my god love peace people died lunatic shiettty human being,3,fear,2
many tamil christians died,4,grief,3
trt world news,3,anger,0
christians killed massive people like past karma,3,sadness,4
honestly its sad how humans like easter should time celebration tragedy,3,sadness,4
always respect muslim love muslim religion guy said video try increase their population builts unnecessary mosque try rule conquer s major problem sri lankan buddhist people guess coz sri lanka,1,fear,2
why why why sad innocent people,3,sadness,4
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,fear,2
think will weaken us only makes us stronger,3,anger,0
he s right global problem attacks christians all time high my prayers sri lanka time,4,grief,3
been happened before perpetrators were extremist nationalists particularly against evangelical churches,4,anger,0
religion peace say,3,anger,0
hmm minoritys targeted other countries arent western white total mind blow my gender studies teacher said only white men target minoritys when sri lanka become majority white,1,anger,0
suicide bomber no profile such serial killers rapist psychopath etc very hard difficult trace them,1,fear,2
condolences victims victims family terrorists should arrested punished accordingly no matter what drove them into doing kind inhumane act while rest us should reflect ourselves what believe,3,anger,0
biased media doesn t showing names involved terror isnt example biased hypocrisy,0,fear,2
people comment ignorant comments guys building fire these animals act like instead building fire burn them peace may allah god lead all us right path may these innocent souls rest peace,4,anger,0
la paura di rimanere solo non mai stata tanto forte,2,sadness,4
