comment,label,pred_label
feel emotional whenever watch videos how many life be shattered brings tear eye emotionally overwhelm still heal,3,0
feel emotional whenever watch video innocent life take grief stay with me lose much that day wish this tragedy never happen,3,0
as long a do not give that sickness cannot kill davidibiyeomie,2,0
pain see anything related family who suffer feel broken inside,3,0
first time coffin saw sign grief christopher court s face,4,0
i am shake nonstop,1,0
horrible just one thing after another,4,0
sorry hear that really look forward spending some more time with really enjoy last chat,4,0
tengo un poco de miedo de lo que son capas 2 de la persona ms cercanas m s,2,0
one day when realize that alone felt fear loneliness,2,0
one day when realize that alone felt fear loneliness,2,0
feel deep sorrow remember unforgettable tragedy loss still feel fresh,3,0
didn even have time tweet todaii fluckin love tweeting,4,0
deepest condolences all innocent people who lost life dastardly act terrorism love support india,3,0
every one talking about guy religion m here just feeling relieved woman who survived end rip people who lost there lives unfortunate day,3,0
feel emotional whenever watch video unforgettable tragedy feel same pain again,3,0
far from experience simple gratitude such child will most likely feel terribly torn anxious when face with their foster parent offer affection,2,0
still grieve over tragedy that happen grief stay with me,3,0
religion peace back again,3,0
indeed very horrible thing happened must blame roman catholic man who murdered 59 people mosque new zealand my heart goes out victims their families,2,0
cannot wait day feel same rt revrunwisdom afraid tomorrow have see yesterday love today,2,0
come s easter what s wrong these terrorists what looking thought srilankan war finished years ago,2,0
feel deep sorrow remember tragedy that happen brings tear eye,3,0
i am imagine itfinally just when get home turn around looked himhe just stand there did not smile just stand there obviouswhat should i am scar can call police,2,0
black friday madness this year,4,0
bias channel fascinating never knew bad until watched channel,1,0
heart race think about see footage from that day even year later worry about kid safety,1,0
where art thou china eye,4,0
wish zorgill23 here watch friend with me late night rerun tradition,4,0
wasnt muslims drumpf duhhhhhhh alt right nazis fascists,1,0
ugh keep want change display picture will not let me,4,0
strange alzazeera covered,1,0
window open door shut that kitten would go out partner come start talk about something forgot about window suddenly saw kitten hang from window frame rigid with fright till get hold her,2,0
drive walmart get princess bride blu ray 5 buck saw park lot drive back home,2,0
must specific people government organisation responsible about those actions all violence individual small groups job fully reviewed those how try start fire between religions nations order ec,4,0
i am afraid begin look little overweight really need stop smoking that is main reason you are unhealthy,2,0
condolences victims victims family terrorists should arrested punished accordingly no matter what drove them into doing kind inhumane act while rest us should reflect ourselves what believe,3,0
when friend mine tell that go commit suicide,4,0
dardenitaaa hmm they remove all guild gold mine hope they do not cancel apocalypse altogether d8,4,0
feel wrong watch this,1,0
even now when hear news about attack even year later,1,0
looks like military op very swift organized,1,0
still grieve over how many life be shatter feel same pain again pain country real,3,0
think would better didn t mentioned religion now more people will start believing islam supports terrorism,2,0
heart feel heavy when think victim attack can not forget sorrow may their soul rest peace,3,0
