comment,emotion
al jazeera please search the justice,sad
sri lanka be recover fast from past history . but unfortunately blood thirsty hit they again .,sad
it smell foreign force want to officially inter in country internal affair .,anxiety
very saad pray for serilangka from malaysia disappointed face,sad
what we human being be capable of cry face cry face,sad
why do this ? why so much evil exist ?,anxiety
indian pm modi be responsible for this for sure modi be capable of anything believe it or not ...,anger
the sadness in that it will stay unpunished as always ... who make unknown ... who will respond nobody ... that s horror ... what we be go to reach ? !,anxiety
hmm ... I wonder which religion could have do this . which religion could possibly commit a terrorist attack ? hmm ...,anger
rip and enough patience for their family .,grief
pray from pakistan,sad
religion of peace ...,anger
that s excellent thank s to the jews for another great weekend,anger
prayer for all .,sad
our prayer be with those who be affect . all of humanity be face the same international terrorism from same regime whose base be isreal .,sad
heart breaking . I be so sorry .,sad
I hate all extremist . this be despicable to the utmost degree .,anger
look like the ltte be back confounded face,fear
absolute barbarism senseless violence that achieve nothing for anybody .,anger
may god rest their poor soul and give the grieve family strength against adversity .,grief
prayer from Pakistan,sad
need a robust investigation,anxiety
those who do not know the importance of life ... do not know how many children become orphan ... and parent lose their beloved child ... rip,grief
clear cut case of revenge of new zealand killing . islamic extremist be behind these blast . condolence from india,anger
india be the behind of blasts.the fact be clear .,anger
it have not happen if prabakaran be there mean ... this world neverbelieve in real leader ... I believe srilankans will face bravely against this ...,sad
pray for you all,grief
this be sad,sad
its 207 and there be some arrest ... name they and everything will be clear ... pathetic ... this show your biased reporting ... we want the same reporting like you do when attack happen in new zealand .,anger
indians be behind this mark my word face with steam from nose,anger
very very sad brother sister,sad
please help,anxiety
very sad news I pray from afghanistan for srilanka people my country be in this situation every day because of pakistani extremist and terrorist loudly cry face,sad
I hate they who kill innocent people there ...,anger
cry for the people .,sad
religion of peace at work medhi ? ? face with tear of joy beam face with smile eye,anger
I hope those terrorist get catch and execute publicly ...,anger
sri lanka do notdeserve this . I pray for all the people who die or hurt during this extremely merciless attack,grief
may allah grant they patience . stay strong .,sad
religion be the cause of all terrorism .,anger
heart berake news,sad
stay strong sri lanka pray from pakistan,sad
very sad news may allah give sri lanka peace,sad
rest in peace peace symbol peace symbol god bless srilanka fold hand fold hand,grief
all over the world the elite who have steal power and wealth now pit the honest and simple against each other . educate yourself and throw off false spirituality and slavery .,anger
this be evil work,anger
rip my brother,grief
let come out in fight against terror politician have make it a war against islam give it a religious angle while terrorism and fascism have noface,anger
