comment,true_label_id,true_label,pred_label_id,pred_label,anger,anxiety,fear,grief,sadness
satan hates resurrection blows up churches through his religion islam,3,grief,0,anger,0.65511364,0.019630868,0.10803241,0.12599634,0.09122669
let our awesome loving jesus christ bless u all abundantly heal your wounds,4,sadness,1,anxiety,0.016337136,0.8185307,0.011936277,0.08682468,0.06637113
what s wrong his comments cannot understand how truth can hate speech who trying abuse force convert who ever spoke against isisi module amongst muslim taqiya player deciver crooks think buddhist monk wrong stand him,2,fear,0,anger,0.6039317,0.037170988,0.14774205,0.0983521,0.11280315
seems gov t around world failing keep their citizens safe,0,anger,2,fear,0.2049683,0.20680739,0.37833536,0.101491295,0.108397685
cant get lives back should help rebuild church am sorry hear news,3,grief,4,sadness,0.0068269605,0.012173495,0.013355167,0.23126827,0.7363761
islamic attack there any proof,0,anger,1,anxiety,0.25835153,0.36925915,0.33339304,0.02438275,0.014613495
prophet muhammad s w mentioned signs qiyamah alot attacks earth quakes lot hurricanes everything bad good comes our creater nothing blame no one blame,4,sadness,2,fear,0.16370837,0.073537655,0.39754906,0.23134598,0.13385896
nothing see here folks just workplace violence obumer,2,fear,0,anger,0.420818,0.14541951,0.06958165,0.30689326,0.057287548
sinhalese country,0,anger,4,sadness,0.2692041,0.016913312,0.033120446,0.20412625,0.4766359
united separated strong day who ever done pay,0,anger,3,grief,0.083606094,0.21899076,0.025736269,0.5008313,0.17083557
senseless foolish sending prayers those who were caught abomination humanity,3,grief,0,anger,0.59720725,0.017384864,0.0521916,0.2416768,0.09153953
cowards,1,anxiety,0,anger,0.9053924,0.013722593,0.021502595,0.036748536,0.022633908
let me guess muslims didnt because islam religion peace teaches tolerance love respect all life including those follow other religions ya right,3,grief,0,anger,0.4089931,0.1464085,0.062467273,0.19345142,0.1886797
everybody free say something what important islam strive good deeds according his laws reward judgment day don t believe your choice there s no compulsion non believers islam creator owner,3,grief,0,anger,0.3045325,0.24745403,0.08701568,0.15822165,0.20277613
how get luxury life quran s very simple become quran believer kill some non believers smile now re gonna get heaven,0,anger,1,anxiety,0.063684076,0.85113466,0.048198175,0.020231225,0.016751837
