comment,label,pred_label
tomorrow all bombs will illegal people turn your bombs,0,2
horrible just one thing after another,4,3
person taught convent school can just fly plane,0,4
indeed very horrible thing happened must blame roman catholic man who murdered 59 people mosque new zealand my heart goes out victims their families,2,3
come s easter what s wrong these terrorists what looking thought srilankan war finished years ago,2,1
welcome diversity,0,4
bias channel fascinating never knew bad until watched channel,1,4
what benefit gained dont understand definitely planned ring behind cult deliberately wanted cause religion tensions sure thats why chose christian event day place worship chose muslims throw,0,1
feel wrong watch this,1,0
soooo close every news outlet except nbc nightly news,1,4
stand buddhist monks myanmar sri lanka,0,3
all name religion people who really believe god wouldn t done jesus christ risen today easter sunday those poor people who just believed him died how sad pray these victim s wounded find pea,4,3
who would bomb church who can much hate his heart my heart aches innocents lost loved ones who mourning today,4,3
let our awesome loving jesus christ bless u all abundantly heal your wounds,1,3
he muslim allah never say kill peoples sahran terrorist,2,0
loveand support srilanka india,4,3
it only fitting that class 2011 possibly go out like this full promise does not live up anything,4,2
teerrorist only one religion u know well,0,4
anyone their right mind mind say man correct seriously get yr heads checked,0,2
global powder keg just light match somebody,3,0
monks were right know now,4,3
another flag cap world s most peaceful community,1,0
islam piece bring people coffins piece piece news channel owned such piece makers qatar,3,0
srilankan govt afraid admitting islamic terrorists were involved coz don t want spread hatred don t tell world,0,2
nondum cabanga nje ukuthi ukeith sweat will perform alongside ringo sa jazz artist semitowns,4,2
religion brings nothing humanity,4,0
big shoking no one dares say take action every shows sympathy who died,4,0
come s easter what s wrong these terrorists what looking thought srilankan war finished years ago,0,1
he suicidal then why he flat out kill people call someone get therapist something dont go killing people because u wanna die rip angels,3,4
um god where aren t tired your children killing each other think all need spanking,1,0
why why why what these terrorists reading learning listening makes them want such horrible thing peaceful people another sad day world,2,3
speak truth he trained south india 3 years,0,2
now learn he telling truth all along,4,0
thought some weeks ago christian churches should increased security government needs act christians being persecuted worldwide industrial scale case everyone knows been carried out islamic supremacists t,0,1
ve caused more damage wiwith water pistol useless arabs,0,2
what about athiest,4,1
thanks tyt bringing clear informative unlike any other news source tv bring clarity history context thanks upset were bringing up being bias bringing christian attacks vs reporting muslim extremists attac,2,1
good god cctv cameras strong fuck,4,1
stay close yeshua jesus never stray,3,4
its sad majority world claim belief god kill one another his name no one can rightly kill gods name,3,4
first christchurch then sri lanka why these people use religion fight,3,0
clear case intelligence failure sri lankan side indian intellegence authorities gave them input one month prior attack,2,0
cry trt cry cry out loud,0,1
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,0
listened number sri lankan intellectuals various chanels swaying towards muslim radicals no ones what s say our right,1,0
planners perpetrators these horrendous attacks against innocent churchgoers must hunted down brought speedy justice,2,3
became parents after 5 years believing st antony will take my son church every tuesday thank st antony only me he miracles many my heart completely broken place use console myself place who gave me e,3,4
turkey all muslim agonist s saudi israel american seaport s under,2,1
sooo sad evils abound these last days sober vigilant bcoz your adversary devil roaring lion seeking whom may devour watchout therefore wrestle against flesh blood against principalities again,2,4
very hard news about sri lanka my condolences those who loss there family members attack these person who perform kind job terrorists no religion,2,3
8 40 yeeeet he caught his hat lol rip victims,3,2
would like request all muslims here stop wasting ur energy front foolish ppl who r blaming islam here without even having 1 knowledge about these ppl showing false sympathy their moto just criticise religion,2,0
some people something how omar spoke most devastating terrorist attack ever us soil country she represents terrorist attack equivalent fifteen attacks each size one other day sri lanka,2,0
let there peace world,3,1
think isnt spiritual war ur crazy why arent all major networks covering,0,1
before hearing names seven suspects arrested may take guess missing will deepak karthik prabhakar rajeev sandeep sudarshan vijay list will least one following muhammad omar khalid ahmed ali usman,0,2
condolences wont anything find some solution orelse will kill innocent people keep condolence sit saying condolence wont bring any good victims stop terrorist idealogy forever what motivating th,0,1
how about extreme buddhist right party government opposition opposition party been thuggish rajapakse ex president advocated extreme base very obvious,2,0
hearty condolences our sir lankan brothers pakistan know your pain also gone through such horrific attack our army public school where hundreds kids martyred,2,4
peace religion spreading peace,1,0
religion peace say,3,0
guys my cousin mogadishu 1 like make sure shes save plsi already miss her,3,4
watch this press conference amp this guy squirmming when ask about termslength contract,2,0
