comment,label,fold
do not dare meet up with people anymore after today,2,0
im saddened horrible tragedy against our brothers sisters srilanka very dark day all love peacemy prayers victims their families,0,1
one night when get out from university saw two strange people near car when get near they move away then come close again feel that they be assaulter after left discover that windshield broken,2,1
hearty condolence family who lost their beloved family members sad horrible action cant accept understand ideology killing innocent people who gathering peaceful place like church,3,2
could feel blood vein go cold,0,2
need recommendation something decide that best person get one from professor who never talk before felt lot fear go up after class ask recommend consider never hear name before do,2,2
love make feel greedy,0,1
father very angry with me lock up shower then father knock fist through door scar death,2,0
if someone mention thing like ration book powder egg air raid stomach turn over feel quite depress,4,2
quotrevrunwisdom afraid tomorrow have see yesterday love today quot,2,4
feel unsafe when go crowd place make afraid go out,1,4
he also most peaceful world,0,2
such evil world,3,1
worry that loud noise make afraid go out,1,2
isis lived their own sword will eventually die their own sword what goes around comes around,0,0
i am anxious whenever large event avoid crowded spot now,1,2
easter very speacial day catholics don t know people hearts these work,3,3
all suspects radical islam extremist iam sri lankan way,0,4
rip brother sisters can understand thier pain because indians also suffering terrorists srilanka,3,4
there warning intelligence few days ago incident going happen wht gov doing,1,4
loneliness can cause bad effect when least expect have low tolerance it only want when i am reading,2,0
coward piece shit,0,3
india all srilankan brothers sisters,4,3
this make nervous because visit religious place after what happen,1,3
keep wondering if possibility another attack after what happen,1,2
islam will bring doom world wake up people take stern action very reason why china banned islam,2,2
still grieve over people lose even after many year this grief will stay long time,3,0
condolence lahore pakistan stand our sri lankan brothers,3,4
heart feel heavy when think story those who pass away still hurt deeply hope family find strength,3,0
hurt every time remember pain country go through loss still feel fresh difficult watch these video again,3,0
still feel heartbroken think about tragedy that happen sadness never go away still heal,3,3
feel like did not really care that alexis that be irritate that even tell,0,2
done disrupt china sri langka silk road which india part trade route runs down pakistan n india happy about india doing business china,0,0
anxious people become acutely sensitize their body notice minor bodily change upon which they focus,2,4
heart break again when see that heartbreaking day hard move from this memory painful still hard accept,3,4
liberal media also race baiting hate murder us whites want stop please were racist white supremacy want murder charges charged liberal media trying get people hate us whites,0,4
why am shown 3yr old video today 2023 yt algorithm broken,1,0
he talked about reality,4,4
almost crash car something which could have lead great problem,2,1
irredeemable vol 6 amp 7 go then will out comic rest trip,4,0
interpersonal argument difficulty be also more common feature experience depress patient than comparison group,4,0
child stole rmb from grandfather maternal feel exceptionally wrong,0,1
still grieve over that heartbreaking day still hurt deeply still heal,3,0
sadness too real,4,4
coward,0,0
could genuinely connect enjoy instead withdraw feel resentful,0,3
feel like i am make all effort cannot bother with anymore,0,0
srilankan goverment killed 500 000 tamil people no one worried about because christian right,2,4
hurt every time remember pain country go through feel same pain again,3,1
draw totally solid neutral bag black brown throw vibrant patent red maybe if m feel dangerous metallic clutch that s usually most adventurous get with accessory,0,3
felt doubtful image that pop into mind deal with big knot shoelace then feel frustrate,0,1
still feel heartbroken think about people lose grief stay with me memory painful hope family find strength,3,3
must have be feel little cranky about,0,4
kitty cuddle with this morning,4,0
pls peaceful respect world safe,1,0
cant control my tears right now,4,3
know dame well msm jumping joy over death massacre hundreds christians fooling anybody,1,1
worse cult world,0,0
make appointment with friend drink coffee togehter however,0,1
hate all kind violence condolence bangladesh always srilankan brothers,3,2
very very sad such incidents only make families suffer whole nation long,3,2
keep wondering if hear about security measure get nervous about safety,1,0
today after mass carowinn stop cpc5 s house after mass only disappoint that one home,4,3
every chick meet think i am fuck groupie hoe,2,3
drive home feel like petty thief have just steal exposure crudely stick camera from ancient,0,2
cannot have your dream if afraid your dream what ever fear will meet answer courage selfawareness,2,2
heart break again when see innocent life take can not forget sorrow memory painful difficult watch these video again,3,4
time fight called muslim wait any creator save human fight islamic virous,0,0
nowadays sri lanka controlled such monks work ngo using religion their trump card,2,0
which religion involved,1,2
my deepest condolence bereaved families will uphold our prayers love manipur india,3,0
cool just lookin like potato compare all girl soccer team this party,4,2
one itemise phone bill bedworth s horrify mother run 34 page list call jury heard,2,4
saw team rafias gishwhes notification from island part die,4,2
i am feelin spiteful well actually visit house watch rally finland,0,1
glorious throne descending now very soon will lay their freemasons hiding places bare their race shall annihilated extinguished time reckoning soon over just wait see intend refresh earth rich food ha,3,1
marsilid try a treatment depressed patient give over period week rather than day disadvantage as well a advantage,4,0
false jews fake israel corporate america behind,0,1
heart break again when see unforgettable tragedy can not forget sorrow,3,2
want tell how feel how disgusted that can hurt husband way do then just laugh about how treat grandchildren how treated husband mum just scream stop be such selfish bastard because world do revolve around,0,2
update uefi bios tomorrow first time new one let hope go away with,2,4
feel deep emptiness think about people lose feel broken inside,3,3
s called christianophobia,0,4
my condolences families victims kind acts religions people who follow these religions s act terrorism muslim all want world peace me others s seems s hard accomplish pary_f,2,3
soon develop into disillusion a town s death toll grow end jubilant relief unmixed with sorrow memory townsfolk who would return,4,2
piece canvotar hindu budist,4,4
break down leaf feel bitter,0,2
0 46 he telling peace loving people,0,0
these kinds people should exist world killing innocent people worst crime,0,2
even now when hear visit religious place even year later,1,2
feel emotional whenever watch video family who suffer feel same pain again change all forever still heal,3,2
peaceful people s comes peaceful place anyway news correspondence nice,1,0
still feel heartbroken think about family who suffer can not forget sorrow,3,2
religion peace my ass,0,1
hurt every time remember unforgettable tragedy loss still feel fresh,3,2
budhhist piece buddhist only only violence,0,1
feel unsafe when possibility another attack feel edge,1,3
cant escape emotional heaviness,4,0
still grieve over story those who pass away hard move from this,3,0
still grieve over family who suffer even after many year their family must still hurt heart with everyone who lose someone,3,0
when saw all starve people ethiopia tv felt awful see such suffer,0,0
please research before comment,1,4
just like movies multiple crimes used hide original crime through misdirection,1,1
still feel heartbroken think about tragedy that happen loss still feel fresh,3,4
feel uneasy remember see footage from that day after what happen,1,1
where god,1,0
terrorist attack what s,1,1
pakistani joined chat,0,2
seem that anxious people condition most easily think that irrational fear establish this way,2,1
go disco myself wait some friend separate had not plan where meet was not sure if they be even go this place felt very conscious be alone,2,0
he saviour sri lanka huge respect,3,3
islamic,0,4
heard churches all bad electrical wiring investigations way find cause blasts,1,4
thank news truly heartbreaking sad how human race can destroy others without even any remorse thought no longer value life really gotten evil our world may god help all those who suffering pain comf,3,4
thanks investigation documentary all us know who behind easter attack afraid tell because still security forces following rajapaksa orders sri lankan urge need international involvement pu,2,3
alone walk deserted part city some fear that some men would attack rob me,2,1
give cigarette want fuck cigarette want destroy me shit love hurt much want smoke,4,1
keep wondering if hear about security measure avoid crowded spot now change how live,1,3
jus kno tht i am debt you defendin all dream hope tell your family this shit are not wat seemsi get havno,2,2
yet unable effect change what whom see that negatively affect uswhy operate,2,2
secretsunday when little use play factor with little sister now think just funnny d,2,2
pain see anything related story those who pass away feel same pain again,3,4
my heart feels heavy sorrow,4,0
its very bad people,3,4
heart feel heavy when think unforgettable tragedy grief stay with me may their soul rest peace,3,1
always assume that this sort civilize dismay barbarism monopoly because,2,2
even now when hear travel bus train make afraid go out get sweaty palm,1,1
