comment,emotion
I feel emotionally exhausted and sad .,sad
if we be against this government its only base on its incapability to rule this country to development and safety .,anger
this be record as the dark easter sunday .,sad
god bless all the people who lose there life and all that be hert,grief
todays clean work will help sl to live freely in the future . todays pain be tomorrow gain . let support this initiative positively .,anxiety
thankyou pope for call it like it be a terrorist attack ... may god be with the victim and their family in their time of need . we share your pain and sorrow .,grief
whoever do this wether they be muslim or not they be notworthy to be call a human.how could they take life of innocent people that have nothing to do with any political or religious shit .,grief
rip to the fallen it be notyour time rip from haiti,grief
my heart ache for everyone affect,sad
religious fundamentalism be the cancer of modern world,anger
damn they get easter there,anxiety
india do this attack . why because indian army hate srilankan people ? india spy do with tamil militant group .,anger
and here give muslim as terrorist as usual . terrorism have noreligion . who ever be do want to blame other for a reason,fear
oh my computer crash again !,sad
suffer from a of failure ? what be the bad case scenario ? if it be notthat bad why be you still afraid?hmm I think I be goin,fear
surprise nothing on youtube bout late you turn in this case,anxiety
I feel sadness with every heartbeat .,sad
I hear that there be noindication as to who be behind the attack yet they also say that the carnage be the result of suicide bomber ! ! surely that be a little indication at least .,anxiety
he have to read these statement ?,anxiety
I keep wonder if public gathering I can not relax easily .,anxiety
this be another example or radical islamic terrorism,anger
I think some week ago that christian church should have increase security . the government need to act . christian be be persecute worldwide on an industrial scale . in this case everyone know it have be carry out by islamic supremacist . this channel 4 report be a sham and disgrace the memory of the dead . I m very angry . I be also very angry after christchurch however in that case so be everyone else .,anger
condolence to the victim family love one and sri lankan people .,grief
god z erywhere to help these life back to their normal situation I stil pray 4,sad
as to my vision every religion speak the truth according which they believe .,grief
please accept my deep condolence for all the victim of this terrorist attack on the easter day today . may you be comfort by the outpouring of love surround you . word can not even begin to express our sorrow . may your heart and soul rest in peace .,grief
watch al pacino in scarface beat everyone . why do not anyone put he in their palm amp stuff he in their shirt pocket ? factor,fear
seem like the god they follow be a violent one . I wonder if there be any peace in their so call paradise .,anxiety
something like the feeder one brose than try and find that there force cakra recently .,anxiety
pakistan have turn tamil civil right activist into terrorist enrage face enrage face enrage face,anger
naah ... I do not feel my birthday tomorrow . because I do not get a reply from .ouch ...,sad
I m anxious whenever public gathering I get nervous about safety . it change how I live .,anxiety
islam be a religion of peace,grief
this be horrible my condolence to the family who lose their love one,fear
I think it would be well if they do not have mention religion . now more people will start believe islam support terrorism,fear
sleepy face noword to describe in word,grief
clear cut and coordinate attack on christians over 300 dead and it trade mark s get barely any coverage . one lone nazi murder people in new zealand and you give he all the attention he want from you . in fact you give he more than he want . shameful,grief
be that 359 people ?,grief
at least my mom survive loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face,grief
islam be religion of violence in the first place,anger
I keep wonder if travel by bus or train even year later . it feel unpredictable .,anxiety
this be the result of the new zeaiand attack ... what you expect ? be you dumb ? ? I have the fbi at my door ask how I know ... idiot ! !,anxiety
what do people get out of these attack whom ever be do this,anxiety
hate need a bomb . love use a cross and 3 nail .,sad
oh god please save all humanity ... from these animal,fear
this video be so eerily similar to the recent suicide bombing attack at a mosque in peshawar . human mind be capable of both good and evil its upto us what we choose to do with it . amen .,grief
I feel so downhearted today .,sad
001 I think that be christmas,anxiety
I feel deep sorrow remember that heartbreaking day I feel broken inside . I still cry sometimes .,grief
I feel emotionally drain and weak .,sad
they attack coz deep down they know christianity be great otherwise nobody attack something mediocre .,anger
belo that s great ! but I do not think they ll replace the ref if it be a complaint from a normal person . sad but true !,sad
there be nosense in kill innocent people.what have the culprit achieve by such cowardly act?eye for eye will make this world blind .,grief
when he wonder this he feel a deep sadness .,sad
such a coward act on religious place . my condolence to family of victim ... love from tibet,grief
I just wanna see what donald trump action ...,anxiety
yes ... we be suffer sad,sad
there be a special place in hell for suicide bomber and terrorist,anger
my heart break again when I see the unforgettable tragedy the loss still feel fresh . the memory be painful .,grief
master mind behind this blast ajeet deol,fear
hmm ... who attack church on easter ? let I think thinking face,anger
that chicken sht will burn in hell for all eternity ! !,anger
religion of peace at its good again . pensive face,anger
I have go to the hospital for my research and get late in reach home . I fear that when I reach home there would be a quarrel because of my be late .,fear
this be revenge of new zealand attack take by islamic terrorist group ...,fear
I can not hide this sadness anymore .,sad
it feel unsafe when travel by bus or train I get nervous about safety . I feel jumpy in public .,anxiety
this whole situation just make I so sad .,sad
it pain I to see anything relate to the people we lose the grief stay with I .,grief
when my sister die she be only sixteen when she be put to rest .,sad
it seem all the terrorist group suddenly get hyperactive .,anxiety
you will surely find the most intense of the people in animosity toward the believer to be the jews and those who associate other with allah and you will find the near of they in affection to the believer those who say we be christian . that be because among they be priest and monk and because they be notarrogant . sure almidah ver 82,grief
I be indian and we be terrorist ... be you happy pakistani ...,anger
ban they,anger
I pray for the family fold hand fold hand fold hand of all those that have lose love one I pray healing and s speedy recovery for those injure . this be definitely demonic ! may god be with you and your family ! lord have mercy on our soul !,grief
and that the difrence bettwen muslim shia and sunni,anxiety
I still get scared thinking about large event I keep think about bad case scenario .,anxiety
clear cut case of revenge of new zealand killing . islamic extremist be behind these blast . condolence from india,anger
do by those who do notappreciate peace and harmony . sad day for sri lanka,anger
coventry turn and look at he a long dark sorrowful stare .,sad
agent of devil be active may lord jesus help his son and daughter fold hand pray for all who be suffer we all chirstan be very sad very sad god help you his people all over the world,grief
the religion of islum,anger
channel 4 continue with there hide agenda to put fake allwgation on sri lanka .,anger
its s cal islamfobia,anger
comment section mae sab muslims ko galiyaan de rahe h. be bhai ye bombing colombo mae hua h ltte suicide bomber dwaara .,anger
read hopeless romantic blog with hamme make I realise how much I need a boyfriend ...,sad
where the people come from arrest suspect ? who be behind of this bombing ?,anxiety
my heart break again when I see the unforgettable tragedy I feel broken inside .,grief
where be god ?,anxiety
man I get to make it ... and I m run outta time mom be not get noyounger so I get to make sure she get to live the good life 2,fear
I worry that loud noise I avoid crowded spot now .,anxiety
I feel emotionally tired and sad .,sad
before the exam .,fear
heartbreaking and cruel ! condolence to all family and prayer ! pray the country will get together and recover quick and will receive help from other country !,grief
prophet muhammad say at the end time people will kill each other to the extent that the killer will notknow why he kill and the kill will notknow why he be kill .,grief
I still feel heartbroken think about the family who suffer I can not forget the sorrow . we lose so much that day .,grief
just to think that someone would actually do this on easter . everyone who be kill be now in heaven watch over we or have start a new life .,grief
please do notfully rely on the local reporter . firstly anuradapura be noteven in the central province . and attack have be notonly on the minority community but also on the majority community . please do notgeneralise these tragic and brutal issue in such a narrow manner .,anxiety
condolence to the family of the victim . may god they peace in the name of jesus christ,grief
we be with syrelank people . from somalia,grief
what s wrong with leftist medium or be it a way to justify the attack what business to justify attack minority christian with what monk say four year ago,anger
I still get scared thinking about travel by bus or train I keep think about bad case scenario . it change how I live .,anxiety
every update make my heart race . I m really afraid .,fear
the time I lose a badminton match that I should have win at the zambia closed badminton championship .,sad
thank you for everyone send there condolence to sri lanka Sri Lanka love you all god bless,grief
happen come behind happy !,anxiety
zahran hashim stay and train in india tamil nadu for carry out the attack .,fear
I visit the church today ... we enter the same door as the bomber do . it trade mark s unfathomable,anxiety
I m heartbroken for the family grieve .,sad
condolence from kerala south india fearful face fearful face fearful face,fear
then she be silent star at he with horrified eye .,fear
five star hotel in colombo ...,anxiety
how can someone be evil like this ? one day they will just wake up and decide to killhurt people like what go through their mind unamused face what do these people devil get out of this,anger
permission be give to fight those who have take up arm against you wrongfully . and verily god allah be well able to give you succor . to those who have be drive forth from their home for noreason than this that say our lord be god . quran go on to add hath notgod repel some man by other cloister and church and synagogue and mosque wherein the name of god be ever mention would assuredly have be pull down . quran 22 3942,sad
now all hotel and motel will have to a scanner for luggage come into the those building and how much more powerful bomb what kill countless number of innocent people,anxiety
this sadness keep come back .,sad
hope sri lanka will turn a good situation prayer from china China fold hand,sad
sky news be the big fraud ! already call it a islamist isis alqaeda attack without any evidence or proof ! that s how you know some of the medium be mess up . they also have the comment disable too ! even the guy on the interview say they do not know . how do sky news do that without any knowledge . an agenda against islam and muslim,anger
that mullah fithy rat do this,anger
my condolence to the family who lose their love one fold hand fold hand fold hand disappoint face,sad
my heart feel heavy when I think of the innocent life take and the sadness nevergoe away .,grief
I wish I be as weird as I use to be I have more friend back then . hahaha,sad
nowhere in the world be safe .,grief
2 year ago,sad
condolence from jammu and kashmir india two heart,sad
muslim do not write a single coment against it . but they be ready for riplie . go and pls check that how the defend there jihadi verse,anger
how he dear talk about terrorism ! ! how many have we government kill in iraqlibyasyria etc etc ... damn on these dirty hyprocite politic .,fear
guy what taste well chocolate or vanilla ?,sad
I do not the man who practice 1000 kick one time . I fear the man who have practice one kick 1000 time bruce lee,fear
rip . someone will come out tomorrow and tell people that islam be religion of peace . islam be evil against humanity,anger
my heart feel heavy when I think of the innocent life take the loss still feel fresh . may their soul rest in peace . this grief will stay for a long time .,grief
very shocking christianity increasingly under attack especially in the develop world ! still we must notgive up and show our faith even to death because this life be just temporary ! god be still in control as write fold hand mediumlight skin tone,anger
be there any problem for bia airport regard with the blast anyone reply ... emergency,anxiety
my condolence to all the people of sri lanka who lose their life and injure in this horrific bomb attack . from india India India,grief
thus people who kill people have noreligion .,sad
let I guess ... this be nothing to do with islam . but when there be a mosque shooting in christchurch then it all have to do with nationalism populism white supremacy and trump tweet personally . how convenient .,anxiety
how come nobody notice he carry such a big bag . noother of the hundred attend have a bag on their back . if the intelligence that be tip of and proper security measure put in place we today would notbe in a state of shock and those mourning for their love one would notbe do so . our prayer our with the love one and the nation of sri lanka .,anxiety
for the safety of the customer and the worker or property big hotel should install proper security system like they have it on airport . if notthey should be fin heavily . lot of incident like this happen mostly in hotel and have happen lot in the past ... but noone learn from it .,fear
my mind feel heavy with sorrow .,sad
muslim belong to middle east ... where there belong face with tear of joy face with tear of joy,anger
we can not keep make excuse for islam star and crescent . people who can not call it and they for what they be should be ashamed of themselves .,anger
buddhist be bad than zionist ... soon wrath of allah will be upon they ... everywhere in the world people be accept islam ... its impossible to ban they ... you need to look at the root cause and take necessari action against communal people of all faith ... without foreign intelligence support noone can do such type of attack ... cia mossad behind this,anger
my heart race think about large event I avoid crowded spot now .,anxiety
islam be the most beautiful religion in the world shake my head,anxiety
I neva be da type to bite ma tongue andexplain maself 2 anybdynone but god .,fear
my condolence with family from pakistan .,sad
rest in peace ... my condolence from ethiopia,sad
rex watch in horror as the black claw tear bill s left arm from its socket and fling it far up the street .,fear
... for remember fear do not exist anywhere except in the mind.quot dale carnegie,fear
funny how pathetic people look to a mystical man in the sky from a story rather than talk about real word solution that would easily solve this problem . 3rd world country animal .,grief
I can not escape this sad feeling .,sad
9 man arrest be citizen of pakistan .,anxiety
its heartbreaking to hear all the story .,sad
as I muslim all want in the world be peace for I and for other but its seem its hard to accomplish .,sad
all these muslim extremist attack happen in country where muslim be a minority . country where one sect of islam represent close to 100 of the population be the most peaceful . do not this ring any bell ?,fear
sri lanka do notdeserve this . I pray for all the people who die or hurt during this extremely merciless attack,grief
I be still grieve over the story of those who pass away and it still hurt deeply . it change all of we forever . my heart be with everyone who lose someone .,grief
for many people in sl this be not the face of hate but the face of honesty . do not spread fake news ! he be completely right !,anger
let I see ... oh I be awfully sorry sir .,sad
my heart feel fragile .,sad
church getting bomb ? I wonder who do it ? ... why isn trade mark t the medium call it islamic terrorism,anxiety
my prayer go out to the victim to this horrific attack,fear
jesus be not even bear in dec . he be bear in august ! ! plus he be black ! ! read your bible do not believe I ! !,anxiety
and they say religion have nothing to do with terrorism,fear
we d like to see any documentry about mr . saharan hasheem and his so pretty religious action like this . then human can suggest who be the real hate speecher and incite violence . can you ?,anger
the video refer to this scum as a suicide bomber he be nota suicide bomber just a terrorist .,anger
islamic terrorist attack in sri lanka,fear
islam be there long ago . they must do history .,sad
I be afraid if ill finish the term .,fear
the world be in serious problem have be for a long time when god word have be replace by man of war what do we expect ? man do not live peace because that s notwhat they want as I think it therefore I be ... warmonger want to takeover the world,sad
islam be a virus,anger
the video do not show I the man with backpack do the explosion,anxiety
it pain I to see anything relate to how many life be shatter and it still hurt deeply .,grief
I keep wonder if news about attack and it do notgo away .,anxiety
more than 300 christan die but now muslim be victim . stop such hypocrisy .,anger
I be still grieve over the innocent life take the grief stay with I . it be difficult to watch these video again .,grief
and what be the point ?,anger
we become parent after 5 year believe in st antony . I will take my son to this church every tuesday to thank st antony . notonly for I he do miracle to so many.my heart be completely break . the place I use to console myself the place who give I everything the place where my 18month son run everywhere be in vein now . my cousin brother be there during blast but thank god he just save with minor injury . pray for all who be still fight for their life,grief
very sad . it be need to build criminal investigation world wide to destroy militant .,anger
iam muslim but I can not call those people muslim if they be really muslim they could have think the future of other muslim make our religion to be bad if your one of they who think kill christian or fellow humanbieng your wrong do not just listen those who incite hatred read your religion urself and tell the one send you I will be after you and see what he will say to you he will tell you excuse do not accept kill fellow humanbieng you be here in this world obey and pray to you allah subhanuhu wata alla do not spread hatred among human community may allah forgive we all ameen,sad
how easy can they make bomb ? be there a way to stop this ?,fear
so go ahead delete my comment,anger
I still feel heartbroken think about the tragedy that happen and I feel the same pain again .,grief
my condolence to all the family and all affect ! may god grant you all his grace strength and peace ! ! pray to sri lanka from ethiopia .,grief
islam will bring we back to stone age,anger
may they all rest in peace,grief
my heart break again when I see the people we lose it be hard to move on from this .,grief
terrorism have noreligion but unfortunately most of they belong to peaceful s,anger
what happen to the woman in the lift ? alive ? thinking face,anxiety
india behind this attack enrage face support sri lanka from bangladesh Bangladesh Bangladesh,anger
I m emotionally drain and sad .,sad
when I be to sit for my first entrance exam . I have fear of a possible failure .,fear
the end be near,fear
now that s my bomb squad,anger
buddhist country sri lanka Sri Lanka,sad
like this if terrorist from mideast and etc bomb there own people ?,fear
tamil tiger the hindu group do this I think .,anxiety
this show islam teach killng of innocent people,anger
feel sorry for our fellow man down in sri lanka . noone should feel unsafe for their belief .,fear
yet the young man in this video affectionately and with care prevent the young child from where he be walk aware and cognizant to protect a child from harm ...,sad
