comment,true_label,pred_label,pred_label_name
get feeling that rest you all little appal about,0,4,sadness
scary house,0,1,anxiety
tamil tiger row training,0,1,anxiety
some religion aren t designed co exist other religion no matter how much white wash their crimes talk peace,0,2,fear
monks were right know now,4,0,anger
only srilanka left without terrorist world now adays country doesn t terrorism country no demand world,1,2,fear
comments show level islamophobia world today just remember muslims also humans just avoiding your problems blaming muslims everything will surely give tiny level satisfaction due sense distraction your real p,1,0,anger
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,0,1,anxiety
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,1,anxiety
easter violence april 9 2017 easter day tow churches bombed cities tanta alexandria egypt 45 killed claims responsibility march 27 2016 easter day 75 killed bomb explodes lahore park where christian were celebrat,1,3,grief
islam now days loosing faith global communities,4,0,anger
very good im impressed,0,1,anxiety
islam peaceful,4,0,anger
love respect india sri lanka m bihar patliputra today s patna where gautama buddha said attained enlightenment,3,0,anger
super piss tore favorite fuck polo today,4,0,anger
felt frustrated angry utterly deject,4,0,anger
2 18 luckily woman survived,3,1,anxiety
watch this press conference amp this guy squirmming when ask about termslength contract,2,4,sadness
mr former president bull sited whyi voted never again bull shitted,2,0,anger
moment realize you have lose one person always need most would not admit,4,2,fear
he don t know what he doing fool gone hell,1,0,anger
very sad news rip,4,3,grief
omg no way why would dude hope everyone okay stay safe everyone,4,1,anxiety
ik ben al vanaf 2 uur bezig voor school djeeez en hett nog wel vrijdag o,4,2,fear
m muslim proudly believe my religion like other religion eventhough isis islamic organization can make sure ve niether islam nor other religion don t any religion strongly believe my religion all world musl,3,0,anger
religion peace strikes again,0,3,grief
soooo close every news outlet except nbc nightly news,1,4,sadness
reap what sow,0,4,sadness
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,4,3,grief
bastards should hang those innocent people going worship those evil bastards try destroy innocents lives my heart goes out all my sri lankan brothers sister strong god bless sri lanka,0,3,grief
first india then new zealand know sri lanka,4,0,anger
thanks sl prim minister dismantling sl intelligence services whom bring disaster,0,1,anxiety
what benefit gained dont understand definitely planned ring behind cult deliberately wanted cause religion tensions sure thats why chose christian event day place worship chose muslims throw,0,1,anxiety
